,LocationID,Borough,Zone,service_zone,geometry
10,11,Brooklyn,Bath Beach,Boro Zone,"POLYGON ((-74.0197796 40.6030953, -74.019407 40.6028353, -74.019116 40.6026323, -74.0183259 40.6024198, -74.0176296 40.6025224, -74.0170692 40.6025127, -74.0163301 40.6024155, -74.0148867 40.6021467, -74.0128953 40.6015928, -74.0124145 40.6014186, -74.0122988 40.6013716, -74.0119859 40.6012634, -74.011689 40.6011425, -74.0113548 40.6009987, -74.0108159 40.6007486, -74.0102358 40.6004608, -74.0095165 40.6000537, -74.009249 40.5998945, -74.0088247 40.5996287, -74.0059849 40.5978503, -74.0056264 40.5976223, -74.0054354 40.597503, -74.0037388 40.5961578, -74.0030867 40.5956005, -74.0023946 40.5947637, -74.0021596 40.5943715, -74.0011749 40.5924899, -74.0003906 40.5915224, -74.0000634 40.5911343, -73.9994706 40.5892419, -73.9992085 40.5889314, -73.9986391 40.5891987, -73.9979447 40.5883127, -74.0005023 40.5870053, -74.0004271 40.5865474, -74.0003569 40.5840497, -74.0003133 40.5835905, -74.0002049 40.5832641, -74.0001082 40.5831269, -73.9973236 40.5824594, -73.9971722 40.5824231, -73.9969834 40.5823779, -73.9968154 40.5823376, -73.9960113 40.5821448, -73.9958431 40.5821043, -73.9902376 40.5807535, -73.9898635 40.5806633, -73.9898404 40.5807218, -73.9893774 40.5818956, -73.9893161 40.582051, -73.9886598 40.5831659, -73.9885493 40.5836596, -73.9848323 40.5841905, -73.9828108 40.5837774, -73.9832671 40.5862026, -73.9834837 40.5873384, -73.9851004 40.5958755, -73.985266 40.596744, -74.0060971 40.6093468, -74.0069776 40.6098781, -74.0083208 40.6106887, -74.0099641 40.6116687, -74.0101348 40.6117809, -74.011712 40.612735, -74.0175711 40.607139, -74.0179261 40.6058548, -74.0181327 40.6050868, -74.0193278 40.6036416, -74.0197796 40.6030953))"
11,12,Manhattan,Battery Park,Yellow Zone,"POLYGON ((-74.017674 40.7037137, -74.0176668 40.7036167, -74.017663 40.7035982, -74.0176453 40.7034978, -74.0176328 40.703461, -74.0176203 40.7034289, -74.0175986 40.7033688, -74.0175775 40.7033174, -74.0175512 40.7032631, -74.017523 40.7032074, -74.0174956 40.7031607, -74.017408 40.7030346, -74.0172629 40.702856, -74.0172279 40.7028151, -74.0169147 40.7024491, -74.0168948 40.7024281, -74.0165358 40.7020497, -74.0165278 40.7020413, -74.0165153 40.7020281, -74.0161415 40.7016586, -74.0161079 40.7016281, -74.0157066 40.7012989, -74.0156798 40.7012755, -74.015138 40.7008491, -74.0150255 40.700997, -74.0149312 40.7011113, -74.0148552 40.7011974, -74.0148011 40.7012617, -74.0148349 40.7012754, -74.0148644 40.7012862, -74.0149013 40.7012994, -74.0148823 40.7013239, -74.0149056 40.7013344, -74.0148029 40.7014665, -74.0147951 40.7014746, -74.0147836 40.7014867, -74.0147994 40.7015139, -74.0147454 40.7015965, -74.0145157 40.7015142, -74.0145332 40.7014827, -74.0144742 40.7014641, -74.0145201 40.7013828, -74.0144976 40.7013759, -74.0145029 40.7013527, -74.0144894 40.7013388, -74.0144682 40.7013283, -74.0143433 40.7012983, -74.0142948 40.7012886, -74.014243 40.7012828, -74.0141876 40.7012856, -74.0141369 40.7012999, -74.0141007 40.7013157, -74.0140845 40.7013274, -74.0140665 40.7013416, -74.01405 40.7013614, -74.0140316 40.7013884, -74.0140222 40.7014143, -74.0140182 40.7014367, -74.0140222 40.7014956, -74.0140405 40.7017331, -74.0140431 40.7017666, -74.0140457 40.7018001, -74.0140487 40.7018389, -74.0140512 40.7018717, -74.0140537 40.7019044, -74.0140577 40.7019562, -74.0140571 40.7019938, -74.0140544 40.7020106, -74.0140416 40.7020436, -74.0140269 40.702068, -74.0140041 40.7020894, -74.0139793 40.7021072, -74.0139478 40.7021199, -74.0139169 40.7021295, -74.0139055 40.7021326, -74.0138938 40.7021384, -74.0138851 40.7021466, -74.0138804 40.7021537, -74.0138777 40.7021644, -74.013876 40.7021796, -74.0138772 40.7022344, -74.0138782 40.7022808, -74.0138794 40.7023151, -74.0138874 40.7023329, -74.0139082 40.7023527, -74.0139382 40.7023708, -74.0139647 40.7023902, -74.0140017 40.7024234, -74.0140669 40.7024984, -74.0142242 40.702651, -74.0143213 40.7027569, -74.0143816 40.7028372, -74.0144272 40.7029109, -74.0144674 40.7029998, -74.0145016 40.7030884, -74.0145119 40.7031323, -74.0145237 40.7031923, -74.0145306 40.7032388, -74.0145345 40.7032937, -74.0145305 40.7033496, -74.0145157 40.7034502, -74.01449 40.7035855, -74.0144799 40.7036386, -74.0144725 40.7036778, -74.0144326 40.7038883, -74.0144118 40.7039977, -74.0143912 40.7041095, -74.0143749 40.7041919, -74.0143501 40.7043337, -74.014334 40.7044115, -74.014334 40.7044415, -74.0143407 40.704472, -74.0143524 40.7044934, -74.0143675 40.7045111, -74.0143917 40.7045315, -74.0144235 40.7045479, -74.0144319 40.7045518, -74.0144594 40.7045625, -74.0145506 40.704592, -74.0146416 40.7046174, -74.0147303 40.7046397, -74.0148739 40.7046699, -74.0148975 40.7046753, -74.0150568 40.7047082, -74.015097 40.7047161, -74.0151461 40.704726, -74.0152293 40.7047424, -74.0152444 40.7047455, -74.0152591 40.7047464, -74.0152706 40.7047461, -74.0152822 40.7047439, -74.0153094 40.7047385, -74.0153279 40.704736, -74.0153449 40.7047353, -74.0153615 40.7047373, -74.015429 40.7047506, -74.0154966 40.7047609, -74.0155615 40.704769, -74.0156086 40.7047735, -74.0156911 40.7047783, -74.0157679 40.7047795, -74.0157878 40.7047796, -74.0158521 40.704779, -74.0159154 40.7047755, -74.0160111 40.7047678, -74.0161341 40.7047565, -74.0162677 40.7047442, -74.0162994 40.7047414, -74.0164284 40.7047331, -74.0165906 40.7047287, -74.0166673 40.7047284, -74.0166918 40.7047291, -74.0167063 40.7047315, -74.0167409 40.7047499, -74.0167606 40.7047561, -74.01678 40.7047597, -74.0167781 40.7047048, -74.0167763 40.7046506, -74.0167795 40.704629, -74.0167832 40.7046098, -74.0168141 40.7045341, -74.0168493 40.7044664, -74.0168724 40.7044222, -74.0169001 40.7043751, -74.0169233 40.7043422, -74.0169524 40.70431, -74.0169861 40.7042821, -74.0170105 40.7042612, -74.0170343 40.7042455, -74.0170536 40.7042328, -74.0170839 40.7042143, -74.0171127 40.7042025, -74.0171399 40.7041932, -74.0171767 40.7041817, -74.0172136 40.7041713, -74.017243 40.7041629, -74.0172814 40.7041545, -74.0173106 40.7041482, -74.0173542 40.7041433, -74.0173955 40.704143, -74.0174273 40.7041457, -74.0174349 40.7041462, -74.0174569 40.7041476, -74.0174871 40.7041514, -74.0175114 40.7041546, -74.0175158 40.7041552, -74.0175584 40.7041641, -74.0175639 40.7041653, -74.0175766 40.7041679, -74.0176271 40.704029, -74.0176371 40.7039989, -74.0176647 40.7038939, -74.0176739 40.7038028, -74.017674 40.7037137))"
12,13,Manhattan,Battery Park City,Yellow Zone,"POLYGON ((-74.01793690000001 40.7100166, -74.0159369 40.7100166, -74.0159369 40.7120166, -74.01793690000001 40.7120166, -74.01793690000001 40.7100166))"
13,14,Brooklyn,Bay Ridge,Boro Zone,"POLYGON ((-74.0242101 40.6310062, -74.0222101 40.6310062, -74.0222101 40.6330062, -74.0242101 40.6330062, -74.0242101 40.6310062))"
14,15,Queens,Bay Terrace/Fort Totten,Boro Zone,"POLYGON ((-74.1351667 40.5542778, -74.13316669999999 40.5542778, -74.13316669999999 40.5562778, -74.1351667 40.5562778, -74.1351667 40.5542778))"
15,16,Queens,Bayside,Boro Zone,"POLYGON ((-73.7717449 40.7621203, -73.76974489999999 40.7621203, -73.76974489999999 40.764120299999995, -73.7717449 40.764120299999995, -73.7717449 40.7621203))"
16,17,Brooklyn,Bedford,Boro Zone,"POLYGON ((-73.95790170000001 40.717738700000005, -73.9559017 40.717738700000005, -73.9559017 40.7197387, -73.95790170000001 40.7197387, -73.95790170000001 40.717738700000005))"
17,18,Bronx,Bedford Park,Boro Zone,"POLYGON ((-73.8866912 40.8690999, -73.88469119999999 40.8690999, -73.88469119999999 40.8710999, -73.8866912 40.8710999, -73.8866912 40.8690999))"
18,19,Queens,Bellerose,Boro Zone,"POLYGON ((-73.7187778 40.7317778, -73.71677779999999 40.7317778, -73.71677779999999 40.7337778, -73.7187778 40.7337778, -73.7187778 40.7317778))"
19,20,Bronx,Belmont,Boro Zone,"POLYGON ((-73.8873889 40.854277800000006, -73.8853889 40.854277800000006, -73.8853889 40.8562778, -73.8873889 40.8562778, -73.8873889 40.854277800000006))"
